Name,Rarity,Set and Card Number,Price
"A Shattered, Colorless Realm",Common,CYAC-EN074,0.03
Adularia of the June Moon,Super Rare,CYAC-EN095,0.20
Albion the Sanctifire Dragon,Secret Rare,CYAC-EN035,9.02
Amazement Abomination Arlekino,Common,CYAC-EN023,0.06
Baromet the Sacred Sheep Shrub,Super Rare,CYAC-EN097,0.26
Beetrooper Cruel Saturnas,Super Rare,CYAC-EN037,0.22
"Brightest, Blazing, Branded King",Common,CYAC-EN070,0.06
Bunny Ear Enthusiast,Common,CYAC-EN032,0.03
Bystial Dis Pater,Ultra Rare,CYAC-EN041,16.73
Chaos Angel,Secret Rare,CYAC-EN044,61.26
Constellar Tellarknights,Super Rare,CYAC-EN064,0.17
Cyberse Desavewurm,Common,CYAC-EN034,0.13
Cyberse Sage,Common,CYAC-EN033,0.09
Cynet Circuit,Common,CYAC-EN069,0.08
Cynet Rollback,Super Rare,CYAC-EN051,0.14
Despian Luluwalilith,Secret Rare,CYAC-EN042,12.67
Despian Luluwalilith (Starlight Rare),Starlight Rare,CYAC-EN042,172.03
Dinomorphia Intact,Common,CYAC-EN076,0.18
Double Hooking,Common,CYAC-EN079,0.10
Dream Tower of Princess Nemleria,Common,CYAC-EN059,0.10
Dreaming Nemleria,Super Rare,CYAC-EN015,0.39
Dual Avatar - Manifested A-Un,Common,CYAC-EN038,0.05
Etude of the Branded,Common,CYAC-EN071,0.08
Fallen of Argyros,Common,CYAC-EN009,0.08
Firewall Defenser,Ultra Rare,CYAC-EN001,2.54
Firewall Dragon Singularity,Secret Rare,CYAC-EN047,2.30
Firewall Dragon Singularity (Starlight Rare),Starlight Rare,CYAC-EN047,64.43
Firewall Phantom,Common,CYAC-EN002,0.11
Full Active Duplex,Common,CYAC-EN025,0.08
Fusion Duplication,Common,CYAC-EN077,0.10
Gold Pride - Better Luck Next Time!,Secret Rare,CYAC-EN091,9.62
Gold Pride - Chariot Carrie,Ultra Rare,CYAC-EN088,0.95
Gold Pride - Chariot Carrie (Starlight Rare),Starlight Rare,CYAC-EN088,62.99
Gold Pride - It's Neck and Neck!,Common,CYAC-EN092,0.05
Gold Pride - Pedal to the Metal!,Common,CYAC-EN090,0.04
Gold Pride - Pin Baller,Ultra Rare,CYAC-EN087,0.44
Gold Pride - Roller Baller,Secret Rare,CYAC-EN086,4.41
Gold Pride - That Came Out of Nowhere!,Ultra Rare,CYAC-EN089,0.34
Golden Cloud Beast - Malong,Common,CYAC-EN082,0.16
GranSolfachord Coolia,Super Rare,CYAC-EN049,0.17
"Guiding Quem, the Virtuous",Secret Rare,CYAC-EN011,22.38
"Guiding Quem, the Virtuous (Starlight Rare)",Starlight Rare,CYAC-EN011,256.47
Gunkan Suship Catch-of-the-Day,Common,CYAC-EN066,0.11
Harvest Angel of Doom,Super Rare,CYAC-EN026,0.16
Hatsugai,Common,CYAC-EN080,0.04
How Did Dai Get Here?,Common,CYAC-EN085,0.07
Hu-Li the Jewel Mikanko,Common,CYAC-EN019,0.05
Icejade Ran Aegirine,Ultra Rare,CYAC-EN010,2.90
Imperial Princess Quinquery,Common,CYAC-EN083,0.06
Infinitrack Road Roller,Ultra Rare,CYAC-EN022,0.41
Kashtira Akstra,Common,CYAC-EN055,0.03
Kitsuni Kitsunebi,Common,CYAC-EN028,0.05
"Kittytail, Mystical Beast of the Forest",Super Rare,CYAC-EN096,0.15
Libromancer Origin Story,Ultra Rare,CYAC-EN063,0.35
Mannadium Abscission,Super Rare,CYAC-EN057,0.49
Mannadium Breakheart,Common,CYAC-EN072,0.08
Mannadium Fearless,Super Rare,CYAC-EN013,0.34
Mannadium Imaginings,Common,CYAC-EN056,0.19
Mannadium Meek,Super Rare,CYAC-EN014,0.57
Mannadium Prime-Heart,Ultra Rare,CYAC-EN043,0.66
Mannadium Reframing,Common,CYAC-EN073,0.12
Mannadium Riumheart,Ultra Rare,CYAC-EN012,6.72
Mikanko Dance - Mayowashidori,Common,CYAC-EN062,0.07
"Moissa Knight, the Comet General",Common,CYAC-EN081,0.04
Nemleria Dream Defender - Couette,Common,CYAC-EN017,0.08
Nemleria Dream Defender - Oreiller,Common,CYAC-EN016,0.08
New Frontier,Common,CYAC-EN054,0.04
Numbers Eveil,Ultra Rare,CYAC-EN000,0.31
Peaceful Planet Calarium,Secret Rare,CYAC-EN058,20.18
Pendulum Pendant,Common,CYAC-EN084,0.04
PenduLuMoon,Common,CYAC-EN030,0.06
Pig Iron vs. Pen Peg,Common,CYAC-EN068,0.02
Protectcode Talker,Super Rare,CYAC-EN048,0.28
Purrely Sleepy Memory,Common,CYAC-EN061,0.11
Purrelyly,Common,CYAC-EN018,0.07
Rebirth of the Seventh Emperors,Super Rare,CYAC-EN099,0.15
Reincarnation of the Seventh Emperors,Super Rare,CYAC-EN098,0.14
REINFORCE!,Common,CYAC-EN075,0.09
"Ringowurm, the Dragon Guarding the Hundred Apples",Ultra Rare,CYAC-EN029,5.02
Sakitama,Common,CYAC-EN027,0.08
S-Force Nightchaser,Super Rare,CYAC-EN050,0.15
Solfachord Symphony,Common,CYAC-EN065,0.05
Superheavy Samurai Brave Masurawo,Ultra Rare,CYAC-EN039,0.59
Superheavy Samurai Commander Shanawo,Super Rare,CYAC-EN040,0.15
Superheavy Samurai Monk Big Benkei,Common,CYAC-EN007,0.12
Superheavy Samurai Motorbike,Common,CYAC-EN003,0.10
Superheavy Samurai Prodigy Wakaushi,Super Rare,CYAC-EN006,1.25
Superheavy Samurai Soulgaia Booster,Common,CYAC-EN005,0.11
Superheavy Samurai Stealthy,Common,CYAC-EN004,0.07
"Sweet Dreams, Nemleria",Common,CYAC-EN060,0.08
Swordsoul Punishment,Common,CYAC-EN052,0.10
Tellarknight Altairan,Super Rare,CYAC-EN020,0.22
Tellarknight Constellar Caduceus,Ultra Rare,CYAC-EN045,0.56
Tellarknight Lyran,Super Rare,CYAC-EN021,0.17
The Bystial Aluber,Super Rare,CYAC-EN008,0.26
Time-Tearing Morganite,Super Rare,CYAC-EN067,2.33
Trap Tracks,Common,CYAC-EN078,0.15
Tri-Brigade Roar,Super Rare,CYAC-EN053,0.25
Tsumuha-Kutsunagi the Lord of Swords,Secret Rare,CYAC-EN024,0.61
Tsumuha-Kutsunagi the Lord of Swords,Ultra Rare,CYAC-ENSP1,2.84
Vicious Astraloud,Secret Rare,CYAC-EN036,11.26
Virtual World Tiger - Fufu,Common,CYAC-EN046,0.07
Visas Starfrost (Starlight Rare),Starlight Rare,CYAC-EN100,235.42
Votis,Super Rare,CYAC-EN094,0.12
Wannabee!,Super Rare,CYAC-EN031,0.67
Wish Dragon,Super Rare,CYAC-EN093,0.12
